76.754,78.816,['GAP_c2p_r']
83.131,83.501,['GAP_c2p_r']
89.03800000000001,90.24300000000001,['GAP_c2p_r']
97.11500000000001,98.59500000000001,['GAP_c2p_r']
108.697,109.554,['GAP_c2p_r']
119.678,120.905,['GAP_c2p_r']
247.66699999999997,248.938,['GAP_c2p_r']
251.63,252.64600000000002,['GAP_c2p_r']
260.775,261.517,['GAP_c2p_r']
284.065,285.686,['GAP_c2p_r']
386.27000000000004,387.06800000000004,['GAP_c2p_r']
392.55,393.688,['GAP_c2p_r']
394.196,395.34700000000004,['GAP_c2p_r']
403.76800000000003,406.389,['GAP_c2p_r']
417.18100000000004,417.61800000000005,['GAP_c2p_r']
425.10600000000005,425.90900000000005,['GAP_c2p_r']
